"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.J.Res. 74",https://www.congress.gov/bill/114th-congress/house-joint-resolution/74,"114th Congress (2015-2016)",,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Administrator of the Environmental Protection Agency relating to ""National Ambient Air Quality Standards for Ozone"".","Rep. Gosar, Paul A. [R-AZ-4]",11/19/2015,,,,82,"House - Energy and Commerce",11/20/2015,"Referred to the Subcommittee on Energy and Power."
"H.J.Res. 72",https://www.congress.gov/bill/114th-congress/house-joint-resolution/72,"114th Congress (2015-2016)",,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units"".","Rep. Whitfield, Ed [R-KY-1]",10/26/2015,,,,109,"House - Energy and Commerce",11/19/2015,"Placed on the Union Calendar, Calendar No. 267."
"H.J.Res. 71",https://www.congress.gov/bill/114th-congress/house-joint-resolution/71,"114th Congress (2015-2016)",,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Standards of Performance for Greenhouse Gas Emissions from New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units"".","Rep. Whitfield, Ed [R-KY-1]",10/26/2015,,,,108,"House - Energy and Commerce",11/19/2015,"Placed on the Union Calendar, Calendar No. 266."
"H.J.Res. 70",https://www.congress.gov/bill/114th-congress/house-joint-resolution/70,"114th Congress (2015-2016)",,"Disapproving a rule submitted by the Environmental Protection Agency relating to ""National Ambient Air Quality Standards for Ozone"".","Rep. Walorski, Jackie [R-IN-2]",10/22/2015,,,,13,"House - Energy and Commerce",10/23/2015,"Referred to the Subcommittee on Energy and Power."
"H.J.Res. 68",https://www.congress.gov/bill/114th-congress/house-joint-resolution/68,"114th Congress (2015-2016)",,"Disapproving a rule submitted by the Environmental Protection Agency relating to ""Standards of Performance for Greenhouse Gas Emissions from New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units"".","Rep. Ratcliffe, John [R-TX-4]",09/29/2015,,,,28,"House - Energy and Commerce",10/02/2015,"Referred to the Subcommittee on Energy and Power."
"H.J.Res. 67",https://www.congress.gov/bill/114th-congress/house-joint-resolution/67,"114th Congress (2015-2016)",,"Disapproving a rule submitted by the Environmental Protection Agency relating to ""Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units"".","Rep. Ratcliffe, John [R-TX-4]",09/29/2015,,,,28,"House - Energy and Commerce",10/02/2015,"Referred to the Subcommittee on Energy and Power."
"H.J.Res. 59",https://www.congress.gov/bill/114th-congress/house-joint-resolution/59,"114th Congress (2015-2016)",,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Army Corps of Engineers and the Environmental Protection Agency relating to the definition of ""waters of the United States"" under the Clean Water Act.","Rep. Smith, Adrian [R-NE-3]",07/07/2015,,,,74,"House - Transportation and Infrastructure",07/08/2015,"Referred to the Subcommittee on Water Resources and Environment."
"H.Con.Res. 136",https://www.congress.gov/bill/114th-congress/house-concurrent-resolution/136,"114th Congress (2015-2016)",,"Expressing the sense of Congress opposing the President's proposed Coastal Climate Resilience Program.","Rep. Gosar, Paul A. [R-AZ-4]",06/10/2016,,,,14,"House - Natural Resources",06/14/2016,"Referred to the Subcommittee on Water, Power and Oceans."
"H.Con.Res. 29",https://www.congress.gov/bill/114th-congress/house-concurrent-resolution/29,"114th Congress (2015-2016)",,"Recognizing the disparate impact of climate change on women and the efforts of women globally to address climate change.","Rep. Lee, Barbara [D-CA-13]",03/25/2015,,,,2,"House - Energy and Commerce",03/27/2015,"Referred to the Subcommittee on Energy and Power."
"H.Res. 898",https://www.congress.gov/bill/114th-congress/house-resolution/898,"114th Congress (2015-2016)",,"Supporting the inclusion and meaningful engagement of Latinos in environmental protection and conservation efforts.","Rep. Napolitano, Grace F. [D-CA-32]",09/28/2016,,,,25,"House - Natural Resources",09/30/2016,"Referred to the Subcommittee on Water, Power and Oceans."
"H.Res. 845",https://www.congress.gov/bill/114th-congress/house-resolution/845,"114th Congress (2015-2016)",,"Supporting the designation of the week of September 17 through September 24, 2016, as National Estuaries Week.","Rep. LoBiondo, Frank A. [R-NJ-2]",09/06/2016,,,,35,"House - Natural Resources",09/19/2016,"Referred to the Subcommittee on Water, Power and Oceans."
"H.Res. 754",https://www.congress.gov/bill/114th-congress/house-resolution/754,"114th Congress (2015-2016)",,"Expressing the commitment of the House of Representatives to work to combat the nationwide problem of invasive species threatening native ecosystems.","Rep. Stefanik, Elise M. [R-NY-21]",05/25/2016,,,,19,"House - Natural Resources, Agriculture, Transportation and Infrastructure",06/03/2016,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
"H.Res. 540",https://www.congress.gov/bill/114th-congress/house-resolution/540,"114th Congress (2015-2016)",,"Expressing the sense of the House of Representatives that the policies of the United States should support a transition to near zero greenhouse gas emissions, 100 percent clean renewable energy, infrastructure modernization, green jobs, full employment, a sustainable economy, fair wages, affordable energy, expanding the middle class, and ending poverty to promote national economic competitiveness and national security and for the purpose of avoiding adverse impacts of a changing climate.","Rep. Grijalva, Raul M. [D-AZ-3]",11/30/2015,,,,59,"House - Energy and Commerce, Ways and Means",12/04/2015,"Referred to the Subcommittee on Energy and Power."
"H.Res. 424",https://www.congress.gov/bill/114th-congress/house-resolution/424,"114th Congress (2015-2016)",,"Expressing the commitment of the House of Representatives to conservative environmental stewardship.","Rep. Gibson, Christopher P. [R-NY-19]",09/17/2015,,,,16,"House - Energy and Commerce",09/18/2015,"Referred to the Subcommittee on Energy and Power."
"S. 3508",https://www.congress.gov/bill/114th-congress/senate-bill/3508,"114th Congress (2015-2016)",,"Transparency and Honesty in Energy Regulations Act of 2016","Sen. Lankford, James [R-OK]",12/06/2016,,,,0,"Senate - Environment and Public Works",12/06/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3498",https://www.congress.gov/bill/114th-congress/senate-bill/3498,"114th Congress (2015-2016)",,"A bill to ensure that the Secretary of the Army obtains consent from certain entities before granting certain permits, casements, or rights-of-way.","Sen. Boxer, Barbara [D-CA]",12/05/2016,,,,0,"Senate - Environment and Public Works",12/05/2016,"Read twice and referred to the Committee on Environment and Public Works."
