"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.Con.Res. 65",https://www.congress.gov/bill/116th-congress/house-concurrent-resolution/65,"116th Congress (2019-2020)",,"Supporting the clean vehicle emissions standards of the United States and defending the authority of States under the Clean Air Act to protect the people of those States from harmful air pollution.","Rep. DeSaulnier, Mark [D-CA-11]",09/19/2019,,,,91,"House - Energy and Commerce",09/20/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.Con.Res. 52",https://www.congress.gov/bill/116th-congress/house-concurrent-resolution/52,"116th Congress (2019-2020)",,"Expressing the sense of Congress that there is a climate emergency which demands a massive-scale mobilization to halt, reverse, and address its consequences and causes.","Rep. Blumenauer, Earl [D-OR-3]",07/09/2019,,,,96,"House - Energy and Commerce",07/09/2019,"Referred to the House Committee on Energy and Commerce."
"H.Con.Res. 35",https://www.congress.gov/bill/116th-congress/house-concurrent-resolution/35,"116th Congress (2019-2020)",,"Expressing the sense of Congress that the United States is committed to ensuring a safe and healthy climate for future generations, and to creating solutions for restoring the climate.","Rep. Raskin, Jamie [D-MD-8]",04/22/2019,,,,4,"House - Energy and Commerce",04/22/2019,"Referred to the House Committee on Energy and Commerce."
"H.Res. 846",https://www.congress.gov/bill/116th-congress/house-resolution/846,"116th Congress (2019-2020)",,"Urging the people of the United States to observe the month of April of each year as Hazel M. Johnson Environmental Justice Month.","Rep. Rush, Bobby L. [D-IL-1]",02/11/2020,,,,0,"House - Energy and Commerce, Natural Resources",02/11/2020,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.Res. 835",https://www.congress.gov/bill/116th-congress/house-resolution/835,"116th Congress (2019-2020)",,"Expressing the sense of the House of Representatives that the Federal Government should establish a national goal of conserving at least 30 percent of the land and ocean of the United States by 2030.","Rep. Haaland, Debra A. [D-NM-1]",02/06/2020,,,,7,"House - Natural Resources",02/06/2020,"Referred to the House Committee on Natural Resources."
"H.Res. 797",https://www.congress.gov/bill/116th-congress/house-resolution/797,"116th Congress (2019-2020)",,"Encouraging the Environmental Protection Agency to maintain and strengthen requirements under the Clean Water Act and reverse ongoing administrative actions to weaken this landmark law and protections for United States waters.","Rep. Dingell, Debbie [D-MI-12]",01/14/2020,,,,89,"House - Transportation and Infrastructure",01/15/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.Res. 589",https://www.congress.gov/bill/116th-congress/house-resolution/589,"116th Congress (2019-2020)",,"Expressing the need for immediate climate action in response to the United Nations Intergovernmental Panel on Climate Change Special Report on the Ocean and Cryosphere in a Changing Climate.","Rep. Bonamici, Suzanne [D-OR-1]",09/25/2019,,,,44,"House - Energy and Commerce, Foreign Affairs, Natural Resources, Science, Space, and Technology",09/27/2019,"Referred to the Subcommittee for Indigenous Peoples of the United States."
"H.Res. 574",https://www.congress.gov/bill/116th-congress/house-resolution/574,"116th Congress (2019-2020)",,"Supporting the teaching of climate change in schools.","Rep. Lee, Barbara [D-CA-13]",09/20/2019,,,,44,"House - Education and Labor",09/20/2019,"Referred to the House Committee on Education and Labor."
"H.Res. 511",https://www.congress.gov/bill/116th-congress/house-resolution/511,"116th Congress (2019-2020)",,"Expressing the sense of the House of Representatives that the Department of the Navy should take a leading role in the mitigation of cross-border spills, discharges, and debris in the Tijuana River that impact national security interests of the United States.","Rep. Davis, Susan A. [D-CA-53]",07/23/2019,,,,3,"House - Armed Services",07/24/2019,"Referred to the Subcommittee on Readiness."
"H.Res. 427",https://www.congress.gov/bill/116th-congress/house-resolution/427,"116th Congress (2019-2020)",,"Recognizing World Oceans Day and the necessity to protect, conserve, maintain, and rebuild our oceans and its resources.","Rep. Bonamici, Suzanne [D-OR-1]",06/05/2019,,,,20,"House - Natural Resources, Science, Space, and Technology",06/06/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.Res. 398",https://www.congress.gov/bill/116th-congress/house-resolution/398,"116th Congress (2019-2020)",,"Expressing the sense of the House of Representatives that the Green New Deal is antithetical to the principles of free market capitalism and private property rights, is simply a thinly veiled attempt to usher in policies that create a socialist society in America, and is impossible to fully implement.","Rep. Johnson, Mike [R-LA-4]",05/22/2019,,,,63,"House - Energy and Commerce, Oversight and Reform, Science, Space, and Technology, Education and Labor, Transportation and Infrastructure, Agriculture, Natural Resources, Foreign Affairs, Financial Services, Judiciary, Ways and Means",06/26/2019,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties."
"H.Res. 367",https://www.congress.gov/bill/116th-congress/house-resolution/367,"116th Congress (2019-2020)",,"Recognizing that climate change most severely impacts vulnerable and disadvantaged communities in the United States and around the world, and that it is the responsibility of the United States Government to work with its global partners to promote environmental justice and climate justice.","Rep. Espaillat, Adriano [D-NY-13]",05/09/2019,,,,11,"House - Foreign Affairs",05/09/2019,"Referred to the House Committee on Foreign Affairs."
"H.Res. 330",https://www.congress.gov/bill/116th-congress/house-resolution/330,"116th Congress (2019-2020)",,"Expressing support for honoring Earth Day, and for other purposes.","Rep. McEachin, A. Donald [D-VA-4]",04/29/2019,,,,95,"House - Energy and Commerce, Foreign Affairs",04/29/2019,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.Res. 288",https://www.congress.gov/bill/116th-congress/house-resolution/288,"116th Congress (2019-2020)",,"Recognizing the duty of the Federal Government to create a Green Real Deal.","Rep. Gaetz, Matt [R-FL-1]",04/03/2019,,,,1,"House - Energy and Commerce, Natural Resources, Ways and Means, Judiciary, Transportation and Infrastructure, Armed Services, Oversight and Reform",05/03/2019,"Referred to the Subcommittee on Antitrust, Commercial, and Administrative Law."
"H.Res. 109",https://www.congress.gov/bill/116th-congress/house-resolution/109,"116th Congress (2019-2020)",,"Recognizing the duty of the Federal Government to create a Green New Deal.","Rep. Ocasio-Cortez, Alexandria [D-NY-14]",02/07/2019,,,,98,"House - Energy and Commerce, Science, Space, and Technology, Education and Labor, Transportation and Infrastructure, Agriculture, Natural Resources, Foreign Affairs, Financial Services, Judiciary, Ways and Means, Oversight and Reform",02/12/2019,"Referred to the Subcommittee on Energy and Mineral Resources."
"H.Res. 19",https://www.congress.gov/bill/116th-congress/house-resolution/19,"116th Congress (2019-2020)",,"Expressing concern regarding the prevalence of hexavalent chromium in drinking water in the United States.","Rep. Green, Al [D-TX-9]",01/03/2019,,,,0,"House - Energy and Commerce, Ways and Means",01/25/2019,"Referred to the Subcommittee on Environment and Climate Change."
"S. 3281",https://www.congress.gov/bill/116th-congress/senate-bill/3281,"116th Congress (2019-2020)",,"Original Recycling Bottle Act of 2020","Sen. Merkley, Jeff [D-OR]",02/12/2020,,,,1,"Senate - Environment and Public Works",02/12/2020,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3227",https://www.congress.gov/bill/116th-congress/senate-bill/3227,"116th Congress (2019-2020)",,"Prevent Future American Sickness Act of 2020","Sen. Sanders, Bernard [I-VT]",01/28/2020,,,,2,"Senate - Environment and Public Works",01/28/2020,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3211",https://www.congress.gov/bill/116th-congress/senate-bill/3211,"116th Congress (2019-2020)",,"Clean Water Allotment Modernization Act","Sen. Rubio, Marco [R-FL]",01/16/2020,,,,1,"Senate - Environment and Public Works",01/16/2020,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3171",https://www.congress.gov/bill/116th-congress/senate-bill/3171,"116th Congress (2019-2020)",,"Protect and Restore America's Estuaries Act","Sen. Whitehouse, Sheldon [D-RI]",01/09/2020,,,,2,"Senate - Environment and Public Works",01/09/2020,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3160",https://www.congress.gov/bill/116th-congress/senate-bill/3160,"116th Congress (2019-2020)",,"Affordable Safe Drinking Water Act of 2020","Sen. Warren, Elizabeth [D-MA]",01/08/2020,,,,1,"Senate - Environment and Public Works",01/08/2020,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3140",https://www.congress.gov/bill/116th-congress/senate-bill/3140,"116th Congress (2019-2020)",,"American Wild Game and Livestock Protection Act","Sen. Lee, Mike [R-UT]",12/19/2019,,,,3,"Senate - Environment and Public Works",12/19/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3117",https://www.congress.gov/bill/116th-congress/senate-bill/3117,"116th Congress (2019-2020)",,"Extinction Prevention Act of 2019","Sen. Blumenthal, Richard [D-CT]",12/19/2019,,,,3,"Senate - Environment and Public Works",12/19/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3062",https://www.congress.gov/bill/116th-congress/senate-bill/3062,"116th Congress (2019-2020)",,"Fracturing Responsibility and Awareness of Chemicals Act of 2019","Sen. Casey, Robert P., Jr. [D-PA]",12/17/2019,,,,4,"Senate - Environment and Public Works",12/17/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2980",https://www.congress.gov/bill/116th-congress/senate-bill/2980,"116th Congress (2019-2020)",,"Clean Water Standards for PFAS Act of 2019","Sen. Gillibrand, Kirsten E. [D-NY]",12/04/2019,,,,6,"Senate - Environment and Public Works",12/04/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2975",https://www.congress.gov/bill/116th-congress/senate-bill/2975,"116th Congress (2019-2020)",,"Stop the Spread of Invasive Mussels Act of 2019","Sen. Bennet, Michael F. [D-CO]",12/04/2019,,,,2,"Senate - Environment and Public Works",12/04/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2941",https://www.congress.gov/bill/116th-congress/senate-bill/2941,"116th Congress (2019-2020)",,"Recycling Enhancements to Collection and Yield through Consumer Learning and Education Act of 2019","Sen. Portman, Rob [R-OH]",11/21/2019,,,,10,"Senate - Environment and Public Works",11/21/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2930",https://www.congress.gov/bill/116th-congress/senate-bill/2930,"116th Congress (2019-2020)",,"Public Water Supply Invasive Species Compliance Act of 2019","Sen. Cruz, Ted [R-TX]",11/21/2019,,,,4,"Senate - Environment and Public Works",11/21/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2893",https://www.congress.gov/bill/116th-congress/senate-bill/2893,"116th Congress (2019-2020)",,"Preparing Superfund for Climate Change Act of 2019","Sen. Harris, Kamala D. [D-CA]",11/19/2019,,,,0,"Senate - Environment and Public Works",11/19/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2856",https://www.congress.gov/bill/116th-congress/senate-bill/2856,"116th Congress (2019-2020)",,"Regional Greenhouse Gas Reduction Act of 2019","Sen. Hassan, Margaret Wood [D-NH]",11/14/2019,,,,10,"Senate - Environment and Public Works",11/14/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2767",https://www.congress.gov/bill/116th-congress/senate-bill/2767,"116th Congress (2019-2020)",,"A bill to amend the Federal Water Pollution Control Act to establish a pilot competitive grant program for improving the sharing of water quality data, and for other purposes.","Sen. Jones, Doug  [D-AL]",10/31/2019,,,,1,"Senate - Environment and Public Works",10/31/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2754",https://www.congress.gov/bill/116th-congress/senate-bill/2754,"116th Congress (2019-2020)",,"American Innovation and Manufacturing Act of 2019","Sen. Kennedy, John [R-LA]",10/30/2019,,,,31,"Senate - Environment and Public Works",10/30/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2687",https://www.congress.gov/bill/116th-congress/senate-bill/2687,"116th Congress (2019-2020)",,"Low-Income Water Customer Assistance Programs Act of 2019","Sen. Cardin, Benjamin L. [D-MD]",10/23/2019,,,,1,"Senate - Environment and Public Works",10/23/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2674",https://www.congress.gov/bill/116th-congress/senate-bill/2674,"116th Congress (2019-2020)",,"Assuring Quality Water Infrastructure Act","Sen. Capito, Shelley Moore [R-WV]",10/23/2019,,,,2,"Senate - Environment and Public Works",10/23/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2662",https://www.congress.gov/bill/116th-congress/senate-bill/2662,"116th Congress (2019-2020)",,"Growing American Innovation Now Act","Sen. Barrasso, John [R-WY]",10/22/2019,,,,7,"Senate - Environment and Public Works",11/06/2019,"Committee on Environment and Public Works. Hearings held."
"S. 2636",https://www.congress.gov/bill/116th-congress/senate-bill/2636,"116th Congress (2019-2020)",,"Clean Water Infrastructure Resilience and Sustainability Act","Sen. Cardin, Benjamin L. [D-MD]",10/17/2019,,,,1,"Senate - Environment and Public Works",10/17/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2602",https://www.congress.gov/bill/116th-congress/senate-bill/2602,"116th Congress (2019-2020)",,"RPM Act of 2019","Sen. Burr, Richard [R-NC]",10/16/2019,,,,29,"Senate - Environment and Public Works",10/16/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2596",https://www.congress.gov/bill/116th-congress/senate-bill/2596,"116th Congress (2019-2020)",,"Voluntary Water Partnership for Distressed Communities Act of 2019","Sen. Duckworth, Tammy [D-IL]",10/15/2019,,,,2,"Senate - Environment and Public Works",10/15/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2591",https://www.congress.gov/bill/116th-congress/senate-bill/2591,"116th Congress (2019-2020)",,"Chesapeake Watershed Investments for Landscape Defense Act of 2019","Sen. Van Hollen, Chris [D-MD]",09/26/2019,,,,9,"Senate - Environment and Public Works",09/26/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2505",https://www.congress.gov/bill/116th-congress/senate-bill/2505,"116th Congress (2019-2020)",,"Clean Air, Healthy Kids Act","Sen. Bennet, Michael F. [D-CO]",09/18/2019,,,,20,"Senate - Energy and Natural Resources",09/18/2019,"Read twice and referred to the Committee on Energy and Natural Resources."
"S. 2491",https://www.congress.gov/bill/116th-congress/senate-bill/2491,"116th Congress (2019-2020)",,"Protect America's Wildlife and Fish in Need of Conservation Act of 2019","Sen. Udall, Tom [D-NM]",09/17/2019,,,,19,"Senate - Environment and Public Works",09/17/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2466",https://www.congress.gov/bill/116th-congress/senate-bill/2466,"116th Congress (2019-2020)",,"Water Justice Act","Sen. Harris, Kamala D. [D-CA]",09/11/2019,,,,0,"Senate - Finance",09/11/2019,"Read twice and referred to the Committee on Finance."
"S. 2456",https://www.congress.gov/bill/116th-congress/senate-bill/2456,"116th Congress (2019-2020)",,"Clean Water Through Green Infrastructure Act","Sen. Udall, Tom [D-NM]",09/10/2019,,,,0,"Senate - Environment and Public Works",09/10/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2430",https://www.congress.gov/bill/116th-congress/senate-bill/2430,"116th Congress (2019-2020)",,"A bill to provide an exemption from certain requirements for federally funded projects and activities in areas not in metropolitan statistical areas, and for other purposes.","Sen. Blackburn, Marsha [R-TN]",08/01/2019,,,,2,"Senate - Environment and Public Works",08/01/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2426",https://www.congress.gov/bill/116th-congress/senate-bill/2426,"116th Congress (2019-2020)",,"A bill to establish a new timeline for certain State implementation plan and attainment requirements for the Fairbanks North Star Borough of the State of Alaska, and for other purposes.","Sen. Sullivan, Dan  [R-AK]",08/01/2019,,,,1,"Senate - Environment and Public Works",08/01/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2410",https://www.congress.gov/bill/116th-congress/senate-bill/2410,"116th Congress (2019-2020)",,"Flood Reduction, Wildlife Habitat, and Water Quality Improvement Act of 2019","Sen. Hyde-Smith, Cindy [R-MS]",07/31/2019,,,,1,"Senate - Environment and Public Works",07/31/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2374",https://www.congress.gov/bill/116th-congress/senate-bill/2374,"116th Congress (2019-2020)",,"Saving America's Vulnerable and Endangered Species Act","Sen. Cruz, Ted [R-TX]",07/31/2019,,,,1,"Senate - Environment and Public Works",07/31/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2364",https://www.congress.gov/bill/116th-congress/senate-bill/2364,"116th Congress (2019-2020)",,"Save Our Seas 2.0: Enhancing the Domestic Marine Debris Response Act","Sen. Sullivan, Dan  [R-AK]",07/31/2019,,,,9,"Senate - Commerce, Science, and Transportation",07/31/2019,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S. 2356",https://www.congress.gov/bill/116th-congress/senate-bill/2356,"116th Congress (2019-2020)",,"Define WOTUS Act of 2019","Sen. Braun, Mike  [R-IN]",07/31/2019,,,,1,"Senate - Environment and Public Works",07/31/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2343",https://www.congress.gov/bill/116th-congress/senate-bill/2343,"116th Congress (2019-2020)",,"Endangered Species Management Self-Determination Act","Sen. Paul, Rand [R-KY]",07/30/2019,,,,1,"Senate - Environment and Public Works",07/30/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2325",https://www.congress.gov/bill/116th-congress/senate-bill/2325,"116th Congress (2019-2020)",,"Super Pollutants Act","Sen. Murphy, Christopher [D-CT]",07/30/2019,,,,1,"Senate - Environment and Public Works",07/30/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2298",https://www.congress.gov/bill/116th-congress/senate-bill/2298,"116th Congress (2019-2020)",,"RESTORE Act","Sen. Toomey, Pat [R-PA]",07/25/2019,,,,3,"Senate - Environment and Public Works",07/25/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2295",https://www.congress.gov/bill/116th-congress/senate-bill/2295,"116th Congress (2019-2020)",,"GLRI Act of 2019","Sen. Stabenow, Debbie [D-MI]",07/25/2019,,,,13,"Senate - Environment and Public Works",07/25/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2274",https://www.congress.gov/bill/116th-congress/senate-bill/2274,"116th Congress (2019-2020)",,"WHERA Act","Sen. Carper, Thomas R. [D-DE]",07/25/2019,,,,5,"Senate - Environment and Public Works",07/25/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2260",https://www.congress.gov/bill/116th-congress/senate-bill/2260,"116th Congress (2019-2020)",,"Save Our Seas 2.0: Improving Domestic Infrastructure to Prevent Marine Debris Act","Sen. Sullivan, Dan  [R-AK]",07/24/2019,,,,7,"Senate - Environment and Public Works",09/25/2019,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 224."
"S. 2239",https://www.congress.gov/bill/116th-congress/senate-bill/2239,"116th Congress (2019-2020)",,"A bill to codify an Executive order preparing the United States for the impacts of climate change, and for other purposes.","Sen. Klobuchar, Amy [D-MN]",07/23/2019,,,,0,"Senate - Environment and Public Works",07/23/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2236",https://www.congress.gov/bill/116th-congress/senate-bill/2236,"116th Congress (2019-2020)",,"Environmental Justice Act of 2019","Sen. Booker, Cory A. [D-NJ]",07/23/2019,,,,13,"Senate - Environment and Public Works",07/23/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2210",https://www.congress.gov/bill/116th-congress/senate-bill/2210,"116th Congress (2019-2020)",,"Great Lakes Water Protection Act","Sen. Duckworth, Tammy [D-IL]",07/23/2019,,,,1,"Senate - Environment and Public Works",07/23/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2105",https://www.congress.gov/bill/116th-congress/senate-bill/2105,"116th Congress (2019-2020)",,"A bill to amend the Clean Air Act to clarify when a physical change in, or change in the method of operation of, a stationary source constitutes a modification, and for other purposes.","Sen. Paul, Rand [R-KY]",07/11/2019,,,,0,"Senate - Environment and Public Works",07/11/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2104",https://www.congress.gov/bill/116th-congress/senate-bill/2104,"116th Congress (2019-2020)",,"A bill to amend the Clean Air Act to exclude energy efficiency projects, pollution control projects, and reliability projects from the definition of a modification.","Sen. Paul, Rand [R-KY]",07/11/2019,,,,0,"Senate - Environment and Public Works",07/11/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2086",https://www.congress.gov/bill/116th-congress/senate-bill/2086,"116th Congress (2019-2020)",,"National Opportunity for Lead Exposure Accountability and Deterrence Act of 2019","Sen. Duckworth, Tammy [D-IL]",07/11/2019,,,,1,"Senate - Environment and Public Works",07/11/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2057",https://www.congress.gov/bill/116th-congress/senate-bill/2057,"116th Congress (2019-2020)",,"National Climate Bank Act","Sen. Markey, Edward J. [D-MA]",07/08/2019,,,,3,"Senate - Environment and Public Works",07/08/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1982",https://www.congress.gov/bill/116th-congress/senate-bill/1982,"116th Congress (2019-2020)",,"Save Our Seas 2.0 Act","Sen. Sullivan, Dan  [R-AK]",06/26/2019,,,,19,"House - Transportation and Infrastructure, Natural Resources, Foreign Affairs, Energy and Commerce, Science, Space, and Technology, Agriculture | Senate - Commerce, Science, and Transportation",01/22/2020,"Referred to the Subcommittee on Conservation and Forestry."
"S. 1976",https://www.congress.gov/bill/116th-congress/senate-bill/1976,"116th Congress (2019-2020)",,"Federal Permitting Reform and Jobs 
Act","Sen. Portman, Rob [R-OH]",06/26/2019,,,,0,"Senate - Homeland Security and Governmental Affairs",07/24/2019,"Committee on Homeland Security and Governmental Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably."
"S. 1973",https://www.congress.gov/bill/116th-congress/senate-bill/1973,"116th Congress (2019-2020)",,"A bill to require the Administrator of the Environmental Protection Agency to establish a program under which the Administrator shall defer the designation of an area as a nonattainment area for purposes of the 8-hour ozone national ambient air quality standard if the area achieves and maintains certain standards under a voluntary early action compact plan, and for other purposes.","Sen. Lee, Mike [R-UT]",06/25/2019,,,,1,"Senate - Environment and Public Works",06/25/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1864",https://www.congress.gov/bill/116th-congress/senate-bill/1864,"116th Congress (2019-2020)",,"Buy Clean Transparency Act of 
2019","Sen. Klobuchar, Amy [D-MN]",06/13/2019,,,,3,"Senate - Environment and Public Works",06/13/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1840",https://www.congress.gov/bill/116th-congress/senate-bill/1840,"116th Congress (2019-2020)",,"A bill to establish certain requirements for the small refineries exemption of the renewable fuels provisions under the Clean Air Act, and for other purposes.","Sen. Fischer, Deb [R-NE]",06/13/2019,,,,16,"Senate - Environment and Public Works",06/13/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1837",https://www.congress.gov/bill/116th-congress/senate-bill/1837,"116th Congress (2019-2020)",,"PIPE Act","Sen. Gillibrand, Kirsten E. [D-NY]",06/13/2019,,,,0,"Senate - Environment and Public Works",06/13/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1812",https://www.congress.gov/bill/116th-congress/senate-bill/1812,"116th Congress (2019-2020)",,"Smoke Planning and Research Act of 2019","Sen. Merkley, Jeff [D-OR]",06/12/2019,,,,3,"Senate - Environment and Public Works",06/12/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1783",https://www.congress.gov/bill/116th-congress/senate-bill/1783,"116th Congress (2019-2020)",,"Nogales Wastewater Fairness Act","Sen. McSally, Martha [R-AZ]",06/11/2019,,,,1,"Senate - Foreign Relations",06/11/2019,"Read twice and referred to the Committee on Foreign Relations."
"S. 1768",https://www.congress.gov/bill/116th-congress/senate-bill/1768,"116th Congress (2019-2020)",,"Native Species Protection Act","Sen. Lee, Mike [R-UT]",06/10/2019,,,,4,"Senate - Environment and Public Works",06/10/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1745",https://www.congress.gov/bill/116th-congress/senate-bill/1745,"116th Congress (2019-2020)",,"Carbon Pollution Transparency Act","Sen. Bennet, Michael F. [D-CO]",06/05/2019,,,,16,"Senate - Environment and Public Works",06/05/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1689",https://www.congress.gov/bill/116th-congress/senate-bill/1689,"116th Congress (2019-2020)",,"A bill to permit States to transfer certain funds from the clean water revolving fund of a State to the drinking water revolving fund of the State in certain circumstances, and for other purposes.","Sen. Booker, Cory A. [D-NJ]",05/23/2019,,,,1,"Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-63."
"S. 1614",https://www.congress.gov/bill/116th-congress/senate-bill/1614,"116th Congress (2019-2020)",,"A bill to amend the Clean Air Act to modify the definition of ""renewable biomass"" under the renewable fuel program.","Sen. Wyden, Ron [D-OR]",05/22/2019,,,,5,"Senate - Environment and Public Works",05/22/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1613",https://www.congress.gov/bill/116th-congress/senate-bill/1613,"116th Congress (2019-2020)",,"Contaminant and Lead Electronic Accounting and Reporting Requirements for (CLEARR) Drinking Water Act of 2019","Sen. Markey, Edward J. [D-MA]",05/22/2019,,,,12,"Senate - Environment and Public Works",05/22/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1604",https://www.congress.gov/bill/116th-congress/senate-bill/1604,"116th Congress (2019-2020)",,"Local Water Protection Act","Sen. Klobuchar, Amy [D-MN]",05/22/2019,,,,1,"Senate - Environment and Public Works",05/22/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1518",https://www.congress.gov/bill/116th-congress/senate-bill/1518,"116th Congress (2019-2020)",,"Rebuild America Now Act","Sen. Sullivan, Dan  [R-AK]",05/16/2019,,,,4,"Senate - Environment and Public Works",05/16/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1507",https://www.congress.gov/bill/116th-congress/senate-bill/1507,"116th Congress (2019-2020)",,"PFAS Release Disclosure and Protection Act of 2019","Sen. Capito, Shelley Moore [R-WV]",05/16/2019,,,,2,"Senate - Environment and Public Works",06/19/2019,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 119."
"S. 1499",https://www.congress.gov/bill/116th-congress/senate-bill/1499,"116th Congress (2019-2020)",,"Wildlife Corridors Conservation Act of 2019","Sen. Udall, Tom [D-NM]",05/16/2019,,,,15,"Senate - Environment and Public Works",05/16/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1487",https://www.congress.gov/bill/116th-congress/senate-bill/1487,"116th Congress (2019-2020)",,"Zero-Emission Vehicles Act of 2019","Sen. Merkley, Jeff [D-OR]",05/15/2019,,,,7,"Senate - Environment and Public Works",05/15/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1482",https://www.congress.gov/bill/116th-congress/senate-bill/1482,"116th Congress (2019-2020)",,"Safeguarding America's Future and Environment Act","Sen. Whitehouse, Sheldon [D-RI]",05/15/2019,,,,8,"Senate - Environment and Public Works",05/15/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1473",https://www.congress.gov/bill/116th-congress/senate-bill/1473,"116th Congress (2019-2020)",,"Protect Drinking Water from PFAS Act of 2019","Sen. Gillibrand, Kirsten E. [D-NY]",05/15/2019,,,,3,"Senate - Environment and Public Works",05/15/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1429",https://www.congress.gov/bill/116th-congress/senate-bill/1429,"116th Congress (2019-2020)",,"21st Century Endangered Species Transparency Act","Sen. Cornyn, John [R-TX]",05/13/2019,,,,9,"Senate - Environment and Public Works",05/13/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1426",https://www.congress.gov/bill/116th-congress/senate-bill/1426,"116th Congress (2019-2020)",,"A bill to amend the Endangered Species Act of 1973 to establish a procedure for approval of certain settlements.","Sen. Cornyn, John [R-TX]",05/13/2019,,,,10,"Senate - Environment and Public Works",05/13/2019,"Read twice and referred to the Committee on Environment and Public Works."
